node_id,degree,betweenness,closeness
i1doyd,0.00011275228323373549,0.0,0.0
fzwm00c,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
fzwr8tm,4.5100913293494195e-05,1.017069125326858e-09,2.2550456646747097e-05
fzwsu7b,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
fzwtil0,2.2550456646747097e-05,0.0,3.3825684970120644e-05
fzwtjcl,4.5100913293494195e-05,2.034138250653716e-09,2.2550456646747097e-05
fzyruyg,2.2550456646747097e-05,0.0,2.2550456646747097e-05
fzzctui,2.2550456646747097e-05,0.0,3.006727552899613e-05
fzzeo3z,2.2550456646747097e-05,0.0,2.2550456646747097e-05
i376d8,4.5100913293494195e-05,0.0,0.0
g0bfdor,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
g0bfy1u,2.2550456646747097e-05,0.0,3.006727552899613e-05
g0ewhdy,2.2550456646747097e-05,0.0,2.2550456646747097e-05
ia4lhv,6.765136994024129e-05,0.0,0.0
g1mkc3h,2.2550456646747097e-05,0.0,2.2550456646747097e-05
g1p2zu7,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
ieh9o0,0.00013530273988048258,0.0,0.0
g2gdvvb,2.2550456646747097e-05,0.0,2.2550456646747097e-05
g2gzq9p,4.5100913293494195e-05,1.017069125326858e-09,2.2550456646747097e-05
g2hcwqa,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
g2kdm20,4.5100913293494195e-05,1.017069125326858e-09,2.2550456646747097e-05
g2kr3q2,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
g2ksbb4,2.2550456646747097e-05,0.0,3.3825684970120644e-05
g3ib3u7,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gaxq24t,2.2550456646747097e-05,0.0,3.006727552899613e-05
jpz45h,2.2550456646747097e-05,0.0,0.0
gbkzisk,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gbm4trx,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gbn9fh8,2.2550456646747097e-05,0.0,3.006727552899613e-05
gbq7q84,2.2550456646747097e-05,0.0,3.006727552899613e-05
k5n83v,2.2550456646747097e-05,0.0,0.0
gegjf3z,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
geh2mpr,2.2550456646747097e-05,0.0,3.006727552899613e-05
gex872z,2.2550456646747097e-05,0.0,2.2550456646747097e-05
kxbxi4,0.00011275228323373549,0.0,0.0
gj99gqq,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gj9b8gb,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gj9gx8r,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gj9q0r1,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gjayixz,2.2550456646747097e-05,0.0,2.2550456646747097e-05
