child_id,parent_id,link_type,degree,betweenness,closeness
fzwm00c,i1doyd,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
fzwr8tm,i1doyd,reply to a submission,4.50034877703022e-05,2.02535948561216e-09,3.0002325180201466e-05
fzwsu7b,fzwr8tm,reply to a comment,4.50034877703022e-05,1.5190196142091202e-09,3.375261582772665e-05
fzwtil0,fzwsu7b,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
fzwtjcl,i1doyd,reply to a submission,4.50034877703022e-05,4.05071897122432e-09,3.0002325180201466e-05
fzyruyg,i1doyd,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
fzzctui,fzwm00c,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
fzzeo3z,i1doyd,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
g0bfdor,i376d8,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
g0bfy1u,g0bfdor,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
g0ewhdy,i376d8,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
g1mkc3h,ia4lhv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
g1p2zu7,ia4lhv,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
g2gdvvb,ieh9o0,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
g2gzq9p,ieh9o0,reply to a submission,4.50034877703022e-05,2.02535948561216e-09,3.0002325180201466e-05
g2hcwqa,g2gzq9p,reply to a comment,4.50034877703022e-05,1.5190196142091202e-09,3.375261582772665e-05
g2kdm20,ieh9o0,reply to a submission,4.50034877703022e-05,2.02535948561216e-09,3.0002325180201466e-05
g2kr3q2,g2kdm20,reply to a comment,4.50034877703022e-05,1.5190196142091202e-09,3.375261582772665e-05
g2ksbb4,g2kr3q2,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
g3ib3u7,ia4lhv,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gaxq24t,g1p2zu7,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
gbkzisk,jpz45h,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
gbm4trx,ieh9o0,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
gbn9fh8,gbm4trx,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
gbq7q84,gbkzisk,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
gegjf3z,k5n83v,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
geh2mpr,gegjf3z,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
gex872z,ieh9o0,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gj99gqq,kxbxi4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gj9b8gb,kxbxi4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gj9gx8r,kxbxi4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gj9q0r1,g2hcwqa,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
gjayixz,kxbxi4,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gjd6hmk,kxbxi4,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
gjdph5q,gjd6hmk,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
glvbon0,ieh9o0,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gp2h0tr,lpu76g,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gwrc06c,n3qqhi,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gwrc44y,n3qfs1,reply to a submission,4.50034877703022e-05,1.01267974280608e-09,3.0002325180201466e-05
gwrdkde,n3qz5b,reply to a submission,6.75052316554533e-05,3.0380392284182405e-09,3.0002325180201466e-05
gwrjqh0,gwrdkde,reply to a comment,4.50034877703022e-05,1.5190196142091202e-09,3.375261582772665e-05
gwrjx4b,n3qz5b,reply to a submission,0.0001350104633109066,5.0633987140304e-09,3.0002325180201466e-05
gwrkdep,gwrjqh0,reply to a comment,2.25017438851511e-05,0.0,3.600279021624176e-05
gwrn75n,n3qfs1,reply to a submission,2.25017438851511e-05,0.0,3.0002325180201466e-05
gwrsufs,gwrjx4b,reply to a comment,2.25017438851511e-05,0.0,3.375261582772665e-05
